"feast_code","feast_ta"
"Blessed Virgin Mary, the Mother of God","இறைவனின் அன்னையாகிய தூய கன்னி மரியா"
"Saints Basil the Great and Gregory Nazianzen, bishops and doctors","புனிதர்கள் பெரிய பசிலியார், நசியான்சன் கிரகோரியார் - ஆயர்கள், மறைவல்லுநர்கள்"
"The Most Holy Name of Jesus","இயேசுவின் திருப்பெயர்"
"Saint Raymond of Penyafort, priest","புனித பெனாப்போர்த்து இரேய்முந்து - மறைப்பணியாளர்"
"Saint Hilary of Poitiers, bishop and doctor","புனித இலாரியார் - ஆயர், மறைவல்லுநர்"
"Saint Anthony of Egypt, abbot","புனித வனத்து அந்தோணியார் - ஆதீனத் தலைவர்"
"Saint Fabian, pope and martyr","புனித பபியான் - திருத்தந்தை, மறைச்சாட்சி"
"Saint Sebastian, martyr","புனித செபஸ்தியார் - மறைச்சாட்சி"
"Saint Agnes, virgin and martyr","புனித ஆக்னெஸ் - கன்னியர், மறைச்சாட்சி"
"Saint Vincent, deacon and martyr","புனித வின்சென்ட் - திருத்தொண்டர், மறைச்சாட்சி"
"Saint Francis de Sales, bishop and doctor","புனித பிரான்சிஸ் சலேசியார் - ஆயர், மறைவல்லுநர்"
"The Conversion of Saint Paul, apostle","திருத்தூதர் பவுல் மனமாற்றம்"
"Saints Timothy and Titus, bishops","புனிதர்கள் திமொத்தேயு, தீத்து - ஆயர்கள்"
"Saint Angela Merici, virgin","புனித மெர்சி ஆஞ்சலா - கன்னியர்"
"Saint Thomas Aquinas, priest and doctor","அக்குவினோ நகர் புனித தோமா - மறைப்பணியாளர், மறைவல்லுநர்"
"Saint John Bosco, priest","புனித ஜான் போஸ்கோ - மறைப்பணியாளர்"
"Presentation of the Lord","ஆண்டவரைக் காணிக்கையாக அர்ப்பணித்தல்"
"Saint Ansgar, bishop","புனித ஆன்ஸ்காரியு - ஆயர்"
"Saint Blase, bishop and martyr","புனித பிளாசியு - ஆயர், மறைச்சாட்சி"
"Saint Agatha, virgin and martyr","புனித ஆகத்தா - கன்னியர், மறைச்சாட்சி"
"Saints Paul Miki and companions, martyrs","புனிதர்கள் மறைப்பணியாளர் பவுல் மீகி, தோழர்கள் - மறைச்சாட்சியர்"
"Saint Jerome Emiliani, priest","புனித எரோணிமுஸ் எமிலியன் - மறைப்பணியாளர்"
"Saint Josephine Bakhita, virgin","புனித ஜோஸ்பின் பக்கீத்தா - கன்னியர்"
"Saint Scholastica, virgin","புனித ஸ்கொலாஸ்திக்கா - கன்னியர்"
"Our Lady of Lourdes","தூய லூர்து அன்னை"
"Saints Cyril, monk, and Methodius, bishop","புனிதர்கள் சிரில் - துறவி, மெத்தோடியுஸ் - ஆயர்"
"Seven Holy Founders of the Servite Order","தூய கன்னி மரியாவின் ஊழியர் சபையை நிறுவிய புனிதர் எழுவர்"
"Saint Peter Damian, bishop and doctor of the Church","புனித பீட்டர் தமியான் - ஆயர், மறைவல்லுநர்"
"Chair of Saint Peter, apostle","திருத்தூதர் பேதுருவின் தலைமைப் பீடம்"
"Saint Polycarp, bishop and martyr","புனித பொலிக்கார்ப்பு - ஆயர், மறைச்சாட்சி"
"Saint Gregory of Narek, abbot and doctor of the Church","நாரெக் நகர் புனித கிரகோரியார் - ஆதீனத் தலைவர், மறைவல்லுநர்"
"Saint Casimir","புனித கசிமீர்"
"Saints Perpetua and Felicity, martyrs","புனிதையர் பெர்பெத்துவா, பெலிசித்தா - மறைச்சாட்சியர்"
"Saint John of God, religious","புனித இறை யோவான் - துறவி"
"Saint Frances of Rome, religious","உரோமை நகர் புனித பிரான்சிஸ்கா - துறவி"
"Saint Patrick, bishop","புனித பேட்ரிக் - ஆயர்"
"Saint Cyril of Jerusalem, bishop and doctor","எருசலேம் நகர் புனித சிரில் - ஆயர், மறைவல்லுநர்"
"Saint Joseph Husband of the Blessed Virgin Mary","புனித யோசேப்பு - தூய கன்னி மரியாவின் கணவர்"
"Saint Turibius of Mogrovejo, bishop","புனித மாங்ரோவேகோ துரீபியு - ஆயர்"
"Annunciation of the Lord","கிறிஸ்து பிறப்பின் அறிவிப்பு"
"Saint Francis of Paola, hermit","புனித பவோலா பிரான்சிஸ் - வனத்துறவி"
"Saint Isidore, bishop and doctor of the Church","புனித இசிதோர் - ஆயர், மறைவல்லுநர்"
"Saint Vincent Ferrer, priest","புனித வின்சென்ட் பெரர் - மறைப்பணியாளர்"
