"feast_month","feast_date","feast_code","feast_type","added_year","removed_year"
"1","1","Blessed Virgin Mary, the Mother of God","Solemnity"
"1","2","Saints Basil the Great and Gregory Nazianzen, bishops and doctors","Mem"
"1","3","The Most Holy Name of Jesus","OpMem"
"1","7","Saint Raymond of Penyafort, priest","OpMem"
"1","13","Saint Hilary of Poitiers, bishop and doctor","OpMem"
"1","17","Saint Anthony of Egypt, abbot","Mem"
"1","20","Saint Fabian, pope and martyr","OpMem"
"1","20","Saint Sebastian, martyr","OpMem"
"1","21","Saint Agnes, virgin and martyr","Mem"
"1","22","Saint Vincent, deacon and martyr","OpMem"
"1","24","Saint Francis de Sales, bishop and doctor","Mem"
"1","25","The Conversion of Saint Paul, apostle","Feast"
"1","26","Saints Timothy and Titus, bishops","Mem"
"1","27","Saint Angela Merici, virgin","OpMem"
"1","28","Saint Thomas Aquinas, priest and doctor","Mem"
"1","31","Saint John Bosco, priest","Mem"
"2","2","Presentation of the Lord","Feast-Lord"
"2","3","Saint Ansgar, bishop","OpMem"
"2","3","Saint Blase, bishop and martyr","OpMem"
"2","5","Saint Agatha, virgin and martyr","Mem"
"2","6","Saints Paul Miki and companions, martyrs","Mem"
"2","8","Saint Jerome Emiliani, priest","OpMem"
"2","8","Saint Josephine Bakhita, virgin","OpMem"
"2","10","Saint Scholastica, virgin","Mem"
"2","11","Our Lady of Lourdes","OpMem"
"2","14","Saints Cyril, monk, and Methodius, bishop","Mem"
"2","17","Seven Holy Founders of the Servite Order","OpMem"
"2","21","Saint Peter Damian, bishop and doctor of the Church","OpMem"
"2","22","Chair of Saint Peter, apostle","Feast"
"2","23","Saint Polycarp, bishop and martyr","Mem"
"2","27","Saint Gregory of Narek, abbot and doctor of the Church","OpMem","2021"
"3","4","Saint Casimir","OpMem"
"3","7","Saints Perpetua and Felicity, martyrs","Mem"
"3","8","Saint John of God, religious","OpMem"
"3","9","Saint Frances of Rome, religious","OpMem"
"3","17","Saint Patrick, bishop","OpMem"
"3","18","Saint Cyril of Jerusalem, bishop and doctor","OpMem"
"3","19","Saint Joseph Husband of the Blessed Virgin Mary","Solemnity"
"3","23","Saint Turibius of Mogrovejo, bishop","OpMem"
"3","25","Annunciation of the Lord","Solemnity"
"4","2","Saint Francis of Paola, hermit","OpMem"
"4","4","Saint Isidore, bishop and doctor of the Church","OpMem"
"4","5","Saint Vincent Ferrer, priest","OpMem"
"4","7","Saint John Baptist de la Salle, priest","Mem"
"4","11","Saint Stanislaus, bishop and martyr","OpMem"
"4","13","Saint Martin I, pope and martyr","OpMem"
"4","21","Saint Anselm of Canterbury, bishop and doctor of the Church","OpMem"
"4","23","Saint Adalbert, bishop and martyr","OpMem"
"4","23","Saint George, martyr","OpMem"
"4","24","Saint Fidelis of Sigmaringen, priest and martyr","OpMem"
"4","25","Saint Mark the Evangelist","Feast"
"4","28","Saint Louis Grignon de Montfort, priest","OpMem"
"4","28","Saint Peter Chanel, priest and martyr","OpMem"
"4","29","Saint Catherine of Siena, virgin and doctor of the Church","Mem"
"4","30","Saint Pius V, pope","OpMem"
"5","1","Saint Joseph the Worker","OpMem"
"5","2","Saint Athanasius, bishop and doctor","Mem"
"5","3","Saints Philip and James, Apostles","Feast"
"5","10","Saint John of Avila, priest and doctor","OpMem","2021"
"5","12","Saint Pancras, martyr","OpMem"
"5","12","Saints Nereus and Achilleus, martyrs","OpMem"
"5","13","Our Lady of Fatima","OpMem"
"5","14","Saint Matthias the Apostle","Feast"
"5","18","Saint John I, pope and martyr","OpMem"
"5","20","Saint Bernardine of Siena, priest","OpMem"
"5","21","Saint Christopher Magallanes and companions, martyrs","OpMem"
"5","22","Saint Rita of Cascia","OpMem"
"5","25","Saint Bede the Venerable, priest and doctor","OpMem"
"5","25","Saint Gregory VII, pope","OpMem"
"5","25","Saint Mary Magdalene de Pazzi, virgin","OpMem"
"5","26","Saint Philip Neri, priest","Mem"
"5","27","Saint Augustine (Austin) of Canterbury, bishop","OpMem"
"5","29","Saint Paul VI, pope","OpMem","2019"
"5","31","Visitation of the Blessed Virgin Mary","Feast"
"6","1","Saint Justin Martyr","Mem"
"6","2","Saints Marcellinus and Peter, martyrs","OpMem"
"6","3","Saints Charles Lwanga and companions, martyrs","Mem"
"6","5","Saint Boniface, bishop and martyr","Mem"
"6","6","Saint Norbert, bishop","OpMem"
"6","9","Saint Ephrem, deacon and doctor","OpMem"
"6","11","Saint Barnabas the Apostle","Mem"
"6","13","Saint Anthony of Padua, priest and doctor","Mem"
"6","19","Saint Romuald, abbot","OpMem"
"6","21","Saint Aloysius Gonzaga, religious","Mem"
"6","22","Saint Paulinus of Nola, bishop","OpMem"
"6","22","Saints John Fisher, bishop and martyr and Thomas More, martyr","OpMem"
"6","24","Birth of Saint John the Baptist","Solemnity"
"6","27","Saint Cyril of Alexandria, bishop and doctor","OpMem"
"6","28","Saint Irenaeus, bishop, martyr","Mem","","2022"
"6","28","Saint Irenaeus, bishop, martyr and Doctor of the Church","Mem","2022"
"6","29","Saints Peter and Paul, Apostles","Solemnity"
"6","30","First Martyrs of the Church of Rome","OpMem"
"7","3","Saint Thomas the Apostle","Feast"
"7","4","Saint Elizabeth of Portugal","OpMem"
"7","5","Saint Anthony Zaccaria, priest","OpMem"
"7","6","Saint Maria Goretti, virgin and martyr","OpMem"
"7","9","Saint Augustine Zhao Rong and companions, martyrs","OpMem"
"7","11","Saint Benedict, abbot","Mem"
"7","13","Saint Henry","OpMem"
"7","14","Saint Camillus de Lellis, priest","OpMem"
"7","15","Saint Bonaventure, bishop and doctor","Mem"
"7","16","Our Lady of Mount Carmel","OpMem"
"7","20","Saint Apollinaris, bishop and martyr","OpMem"
"7","21","Saint Lawrence of Brindisi, priest and doctor","OpMem"
"7","22","Saint Mary Magdalene","Mem","","2016"
"7","22","Saint Mary Magdalene","Feast","2016"
"7","23","Saint Birgitta, religious","OpMem"
"7","24","Saint Sharbel Makhluf, hermit","OpMem"
"7","25","Saint James, apostle","Feast"
"7","26","Saints Joachim and Anne","Mem"
"7","29","Saint Martha","Mem","","2021"
"7","29","Saints Martha, Mary and Lazarus","Mem","2021"
"7","30","Saint Peter Chrysologus, bishop and doctor","OpMem"
"7","31","Saint Ignatius of Loyola, priest","Mem"
"8","1","Saint Alphonsus Maria de Liguori, bishop and doctor of the Church","Mem"
"8","2","Saint Eusebius of Vercelli, bishop","OpMem"
"8","2","Saint Peter Julian Eymard, priest","OpMem"
"8","4","Saint Jean Vianney (the Curé of Ars), priest","Mem"
"8","5","Dedication of the Basilica of Saint Mary Major","OpMem"
"8","6","Transfiguration of the Lord","Feast-Lord"
"8","7","Saint Cajetan, priest","OpMem"
"8","7","Saint Sixtus II, pope, and companions, martyrs","OpMem"
"8","8","Saint Dominic, priest","Mem"
"8","9","Saint Teresa Benedicta of the Cross (Edith Stein), virgin and martyr","OpMem"
"8","10","Saint Lawrence, deacon and martyr","Feast"
"8","11","Saint Clare, virgin","Mem"
